company,sector,horizon_days,amount,date_BUY_fix,date_SELL_fix,price_BUY,price_SELL,Volatility_Buy,Volatility_sell,Sharpe_Ratio,expected_return_yearly,inflation,nominal_return,investment,ESG_ranking,PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,roa_ratio,roe_ratio
AXP,BANK,4,500,2016-12-23,2016-12-27,70.1689453125,70.17832946777344,0.2497826111712536,0.2497104759278055,0.2497826111712536,0.0016135000495431,-0.2,0.0001337365871988,1,19.8,12.32,5.63,1.76,3.06,14.14,1.94,3.33,25.32
WMT,RETAIL,5,4000,2015-07-14,2015-07-20,64.83633422851562,64.23005676269531,0.1622158559496474,0.1621883874393817,0.1622158559496474,0.0013292222408617,-0.5,-0.0093508905621266,0,27.3,13.21,4.79,0.42,2.48,3.19,0.89,7.65,18.66
KO,FMCG,30,100,2014-01-16,2014-02-14,31.672338485717773,31.050212860107425,0.1557258296552804,0.1561891612235709,0.1557258296552804,0.0052943955453432,-0.15,-0.019642554208332,0,25.1,17.34,1.9,3.18,4.34,18.32,1.13,9.61,26.12
DB,BANK,270,200,2015-10-02,2016-06-28,26.099170684814453,13.626575469970703,0.3127471812299286,0.4599544919300928,0.3127471812299286,-0.1042506171206919,-0.5,-0.4778923961021032,0,30.0,0.0,-3.63,0.69,0.47,-8.97,0.69,-0.23,-5.4
NVDA,TECH,100,25000,2017-01-20,2017-05-01,102.74658203125,105.4775848388672,0.4397407969178698,0.4476357956698926,0.4397407969178698,0.1351005907355301,1.96,0.0265799869312106,0,12.9,42.34,2.55,9.95,10.96,24.11,4.77,19.59,33.72
FB,TECH,4,50000,2018-06-15,2018-06-19,195.8500061035156,197.4900054931641,0.2612004762104958,0.2611055539946846,0.2612004762104958,0.0033054107136221,1.68,0.008373752047685,0,31.6,30.08,6.46,11.8,7.08,39.31,10.67,22.25,25.2
AMZN,TECH,100,10000,2014-11-14,2015-02-23,327.82000732421875,380.1400146484375,0.3233436734543165,0.3301030864209341,0.3233436734543165,0.0900788283907908,-0.15,0.1595997991436608,1,27.4,0.0,-0.48,1.76,14.44,-0.25,0.89,-0.56,-2.1
M,RETAIL,720,3000,2018-07-02,2020-06-22,31.692800521850582,7.079999923706055,0.4180571615062131,0.8480884069036879,0.4180571615062131,0.0171244389552231,1.68,-0.7766054180404552,0,14.5,6.31,5.41,0.41,1.78,6.52,1.53,8.6,31.0
BAC,BANK,600,20000,2016-03-11,2017-11-01,12.545409202575684,25.6320858001709,0.2992816998356716,0.2368362759593715,0.2992816998356716,0.3108528892259966,-0.2,1.0431446584387545,1,26.3,9.39,1.31,1.47,0.48,15.77,0.93,0.68,5.74
GOOG,TECH,5,200,2016-09-16,2016-09-21,768.8800048828125,776.219970703125,0.2225339900939696,0.2204446335715237,0.2225339900939696,0.0026216223552497,-0.2,0.0095463086225414,1,22.8,28.44,27.33,6.79,3.99,22.29,6.88,12.47,15.08
DB,BANK,300,5000,2016-07-25,2017-05-22,13.84775447845459,18.5968017578125,0.4643745112506878,0.4790170651696179,0.4643745112506878,-0.1158340190229911,-0.2,0.342947102849552,1,30.0,0.0,-6.56,0.42,0.24,-20.01,0.67,-0.46,-11.69
AMZN,TECH,360,10000,2018-01-22,2019-01-17,1327.31005859375,1693.219970703125,0.2055201092578594,0.3674486644253876,0.2055201092578594,0.324283782206847,1.68,0.2756777964125781,0,27.4,190.16,6.15,3.24,20.43,1.71,1.04,2.92,12.47
PEP,FMCG,10,20000,2015-04-14,2015-04-24,81.46479034423828,80.35032653808594,0.1341860360155191,0.1347005365186468,0.1341860360155191,0.0021754391208827,-0.5,-0.0136803127024946,0,17.6,18.81,4.29,1.86,7.47,9.82,1.04,8.65,32.41
